Freq.	V(filtroout)
1.00000000000000e+01	9.99992646502266e-01,-3.84027386933716e-03
1.02329299228075e+01	9.99992300084366e-01,-3.92972490560570e-03
1.04712854805090e+01	9.99991937340332e-01,-4.02125949318040e-03
1.07151930523761e+01	9.99991557500739e-01,-4.11492616198931e-03
1.09647819614319e+01	9.99991159759902e-01,-4.21077457220916e-03
1.12201845430196e+01	9.99990743274165e-01,-4.30885554058097e-03
1.14815362149688e+01	9.99990307160115e-01,-4.40922106733769e-03
1.17489755493953e+01	9.99989850492702e-01,-4.51192436375830e-03
1.20226443461741e+01	9.99989372303281e-01,-4.61701988036267e-03
1.23026877081238e+01	9.99988871577558e-01,-4.72456333576236e-03
1.25892541179417e+01	9.99988347253437e-01,-4.83461174618215e-03
1.28824955169313e+01	9.99987798218766e-01,-4.94722345566823e-03
1.31825673855641e+01	9.99987223308982e-01,-5.06245816699871e-03
1.34896288259165e+01	9.99986621304636e-01,-5.18037697331291e-03
1.38038426460288e+01	9.99985990928814e-01,-5.30104239047587e-03
1.41253754462275e+01	9.99985330844416e-01,-5.42451839019527e-03
1.44543977074593e+01	9.99984639651334e-01,-5.55087043390816e-03
1.47910838816821e+01	9.99983915883474e-01,-5.68016550745521e-03
1.51356124843621e+01	9.99983158005648e-01,-5.81247215656083e-03
1.54881661891248e+01	9.99982364410319e-01,-5.94786052313767e-03
1.58489319246111e+01	9.99981533414190e-01,-6.08640238243470e-03
1.62181009735893e+01	9.99980663254634e-01,-6.22817118104828e-03
1.65958690743756e+01	9.99979752085956e-01,-6.37324207581608e-03
1.69824365246174e+01	9.99978797975479e-01,-6.52169197361452e-03
1.73780082874937e+01	9.99977798899442e-01,-6.67359957208019e-03
1.77827941003892e+01	9.99976752738712e-01,-6.82904540127693e-03
1.81970085860998e+01	9.99975657274286e-01,-6.98811186633017e-03
1.86208713666287e+01	9.99974510182583e-01,-7.15088329105089e-03
1.90546071796325e+01	9.99973309030523e-01,-7.31744596257207e-03
1.94984459975804e+01	9.99972051270356e-01,-7.48788817702079e-03
1.99526231496888e+01	9.99970734234271e-01,-7.66230028624997e-03
2.04173794466953e+01	9.99969355128725e-01,-7.84077474565408e-03
2.08929613085404e+01	9.99967911028527e-01,-8.02340616309372e-03
2.13796208950223e+01	9.99966398870629e-01,-8.21029134895453e-03
2.18776162394955e+01	9.99964815447634e-01,-8.40152936736662e-03
2.23872113856834e+01	9.99963157400991e-01,-8.59722158861090e-03
2.29086765276777e+01	9.99961421213869e-01,-8.79747174273977e-03
2.34422881531992e+01	9.99959603203704e-01,-9.00238597443990e-03
2.39883291901949e+01	9.99957699514384e-01,-9.21207289916540e-03
2.45470891568503e+01	9.99955706108075e-01,-9.42664366057080e-03
2.51188643150958e+01	9.99953618756654e-01,-9.64621198927317e-03
2.57039578276886e+01	9.99951433032741e-01,-9.87089426297381e-03
2.63026799189538e+01	9.99949144300315e-01,-1.01008095679709e-02
2.69153480392691e+01	9.99946747704878e-01,-1.03360797620942e-02
2.75422870333816e+01	9.99944238163158e-01,-1.05768295390948e-02
2.81838293126445e+01	9.99941610352336e-01,-1.08231864945222e-02
2.88403150312660e+01	9.99938858698745e-01,-1.10752811931237e-02
2.95120922666638e+01	9.99935977366064e-01,-1.13332472377997e-02
3.01995172040201e+01	9.99932960242932e-01,-1.15972213401498e-02
3.09029543251359e+01	9.99929800929991e-01,-1.18673433926474e-02
3.16227766016838e+01	9.99926492726313e-01,-1.21437565424778e-02
3.23593656929628e+01	9.99923028615194e-01,-1.24266072670779e-02
3.31131121482591e+01	9.99919401249269e-01,-1.27160454514171e-02
3.38844156139202e+01	9.99915602934934e-01,-1.30122244670560e-02
3.46736850452531e+01	9.99911625616034e-01,-1.33153012530253e-02
3.54813389233575e+01	9.99907460856775e-01,-1.36254363985644e-02
3.63078054770101e+01	9.99903099823840e-01,-1.39427942277615e-02
3.71535229097172e+01	9.99898533267651e-01,-1.42675428861376e-02
3.80189396320561e+01	9.99893751502767e-01,-1.45998544292187e-02
3.89045144994280e+01	9.99888744387338e-01,-1.49399049131383e-02
3.98107170553497e+01	9.99883501301604e-01,-1.52878744873177e-02
4.07380277804112e+01	9.99878011125378e-01,-1.56439474892678e-02
4.16869383470335e+01	9.99872262214465e-01,-1.60083125415615e-02
4.26579518801592e+01	9.99866242375978e-01,-1.63811626510224e-02
4.36515832240165e+01	9.99859938842481e-01,-1.67626953101794e-02
4.46683592150962e+01	9.99853338244927e-01,-1.71531126010375e-02
4.57088189614874e+01	9.99846426584305e-01,-1.75526213012138e-02
4.67735141287197e+01	9.99839189201969e-01,-1.79614329924910e-02
4.78630092322638e+01	9.99831610748556e-01,-1.83797641718414e-02
4.89778819368445e+01	9.99823675151450e-01,-1.88078363649732e-02
5.01187233627271e+01	9.99815365580704e-01,-1.92458762424549e-02
5.12861383991364e+01	9.99806664413367e-01,-1.96941157384717e-02
5.24807460249772e+01	9.99797553196128e-01,-2.01527921722714e-02
5.37031796370252e+01	9.99788012606196e-01,-2.06221483723555e-02
5.49540873857623e+01	9.99778022410341e-01,-2.11024328034748e-02
5.62341325190348e+01	9.99767561422014e-01,-2.15938996964875e-02
5.75439937337156e+01	9.99756607456436e-01,-2.20968091811404e-02
5.88843655355588e+01	9.99745137283576e-01,-2.26114274218332e-02
6.02559586074357e+01	9.99733126578928e-01,-2.31380267564283e-02
6.16595001861481e+01	9.99720549871948e-01,-2.36768858381685e-02
6.30957344480192e+01	9.99707380492085e-01,-2.42282897807658e-02
6.45654229034654e+01	9.99693590512260e-01,-2.47925303067251e-02
6.60693448007595e+01	9.99679150689684e-01,-2.53699058989696e-02
6.76082975391980e+01	9.99664030403905e-01,-2.59607219558314e-02
6.91830970918935e+01	9.99648197591917e-01,-2.65652909494757e-02
7.07945784384136e+01	9.99631618680236e-01,-2.71839325878248e-02
