Freq.	V(ampout)
1.00000000000000e-03	1.00000035762787e+00,2.95309703151969e-03
1.02329299228075e-03	1.00000047683716e+00,3.02188349514009e-03
1.04712854805090e-03	1.00000023841858e+00,3.09227220111370e-03
1.07151930523761e-03	1.00000047683716e+00,3.16430047045069e-03
1.09647819614318e-03	1.00000059604645e+00,3.23800649347307e-03
1.12201845430196e-03	1.00000059604645e+00,3.31342935016966e-03
1.14815362149688e-03	1.00000059604645e+00,3.39060903055126e-03
1.17489755493953e-03	1.00000047683716e+00,3.46958645638202e-03
1.20226443461741e-03	1.00000059604645e+00,3.55040350246100e-03
1.23026877081238e-03	1.00000047683716e+00,3.63310301909475e-03
1.25892541179417e-03	1.00000059604645e+00,3.71772885446407e-03
1.28824955169313e-03	1.00000083446503e+00,3.80432587852596e-03
1.31825673855641e-03	1.00000071525574e+00,3.89294000593626e-03
1.34896288259165e-03	1.00000059604645e+00,3.98361822130153e-03
1.38038426460288e-03	1.00000059604645e+00,4.07640860297513e-03
1.41253754462275e-03	1.00000071525574e+00,4.17136034995031e-03
1.44543977074593e-03	1.00000095367432e+00,4.26852380655622e-03
1.47910838816821e-03	1.00000083446503e+00,4.36795049027736e-03
1.51356124843621e-03	1.00000071525574e+00,4.46969311848784e-03
1.54881661891248e-03	1.00000083446503e+00,4.57380563632372e-03
1.58489319246111e-03	1.00000095367432e+00,4.68034324542896e-03
1.62181009735893e-03	1.00000095367432e+00,4.78936243360123e-03
1.65958690743756e-03	1.00000107288361e+00,4.90092100412016e-03
1.69824365246174e-03	1.00000095367432e+00,5.01507810661079e-03
1.73780082874937e-03	1.00000131130219e+00,5.13189426880697e-03
1.77827941003892e-03	1.00000119209290e+00,5.25143142799717e-03
1.81970085860998e-03	1.00000131130219e+00,5.37375296421723e-03
1.86208713666287e-03	1.00000143051147e+00,5.49892373397255e-03
1.90546071796324e-03	1.00000143051147e+00,5.62701010433079e-03
1.94984459975804e-03	1.00000143051147e+00,5.75807998833810e-03
1.99526231496888e-03	1.00000166893005e+00,5.89220288064708e-03
2.04173794466953e-03	1.00000178813934e+00,6.02944989505058e-03
2.08929613085404e-03	1.00000178813934e+00,6.16989380148602e-03
2.13796208950223e-03	1.00000166893005e+00,6.31360906521035e-03
2.18776162394955e-03	1.00000190734863e+00,6.46067188549842e-03
2.23872113856834e-03	1.00000214576721e+00,6.61116023714720e-03
2.29086765276777e-03	1.00000226497650e+00,6.76515391065652e-03
2.34422881531992e-03	1.00000202655792e+00,6.92273455548022e-03
2.39883291901949e-03	1.00000226497650e+00,7.08398572264211e-03
2.45470891568503e-03	1.00000226497650e+00,7.24899290962824e-03
2.51188643150958e-03	1.00000238418579e+00,7.41784360474981e-03
2.57039578276886e-03	1.00000250339508e+00,7.59062733505301e-03
2.63026799189538e-03	1.00000274181366e+00,7.76743571237595e-03
2.69153480392691e-03	1.00000286102295e+00,7.94836248247611e-03
2.75422870333816e-03	1.00000309944153e+00,8.13350357479299e-03
2.81838293126445e-03	1.00000333786011e+00,8.32295715348136e-03
2.88403150312660e-03	1.00000345706940e+00,8.51682366844450e-03
2.95120922666638e-03	1.00000369548798e+00,8.71520591070838e-03
3.01995172040201e-03	1.00000369548798e+00,8.91820906419607e-03
3.09029543251358e-03	1.00000381469727e+00,9.12594076327245e-03
3.16227766016837e-03	1.00000381469727e+00,9.33851115002424e-03
3.23593656929628e-03	1.00000417232513e+00,9.55603293122239e-03
3.31131121482590e-03	1.00000464916229e+00,9.77862143951964e-03
3.38844156139202e-03	1.00000476837158e+00,1.00063946933774e-02
3.46736850452531e-03	1.00000488758087e+00,1.02394734609104e-02
3.54813389233575e-03	1.00000524520874e+00,1.04779813226722e-02
3.63078054770101e-03	1.00000548362732e+00,1.07220447381466e-02
3.71535229097172e-03	1.00000572204590e+00,1.09717931119216e-02
3.80189396320560e-03	1.00000572204590e+00,1.12273588633572e-02
3.89045144994280e-03	1.00000619888306e+00,1.14888774956174e-02
3.98107170553496e-03	1.00000667572021e+00,1.17564876687269e-02
4.07380277804112e-03	1.00000679492950e+00,1.20303312719907e-02
4.16869383470334e-03	1.00000715255737e+00,1.23105534996979e-02
4.26579518801592e-03	1.00000739097595e+00,1.25973029283060e-02
4.36515832240165e-03	1.00000786781311e+00,1.28907315950030e-02
4.46683592150962e-03	1.00000822544098e+00,1.31909950778567e-02
4.57088189614874e-03	1.00000870227814e+00,1.34982525797761e-02
4.67735141287197e-03	1.00000882148743e+00,1.38126670106731e-02
4.78630092322637e-03	1.00000965595245e+00,1.41344050756583e-02
4.89778819368445e-03	1.00000989437103e+00,1.44636373628144e-02
5.01187233627271e-03	1.00001025199890e+00,1.48005384336161e-02
5.12861383991363e-03	1.00001084804535e+00,1.51452869153612e-02
5.24807460249771e-03	1.00001132488251e+00,1.54980655956142e-02
5.37031796370251e-03	1.00001180171967e+00,1.58590615209904e-02
5.49540873857623e-03	1.00001239776611e+00,1.62284660928699e-02
5.62341325190347e-03	1.00001287460327e+00,1.66064751723222e-02
5.75439937337155e-03	1.00001347064972e+00,1.69932891815379e-02
5.88843655355587e-03	1.00001430511475e+00,1.73891132126713e-02
6.02559586074356e-03	1.00001513957977e+00,1.77941571312829e-02
6.16595001861480e-03	1.00001561641693e+00,1.82086356953468e-02
6.30957344480191e-03	1.00001645088196e+00,1.86327686617636e-02
6.45654229034654e-03	1.00001716613770e+00,1.90667809085440e-02
6.60693448007594e-03	1.00001788139343e+00,1.95109025497924e-02
6.76082975391980e-03	1.00001871585846e+00,1.99653690600073e-02
6.91830970918934e-03	1.00001978874207e+00,2.04304213981710e-02
7.07945784384136e-03	1.00002062320709e+00,2.09063061371320e-02
7.24435960074988e-03	1.00002145767212e+00,2.13932755898120e-02
7.41310241300915e-03	1.00002264976501e+00,2.18915879483298e-02
7.58577575029181e-03	1.00002372264862e+00,2.24015074184660e-02
7.76247116628689e-03	1.00002479553223e+00,2.29233043589988e-02
7.94328234724279e-03	1.00002574920654e+00,2.34572554254864e-02
8.12830516164097e-03	1.00002706050873e+00,2.40036437184963e-02
8.31763771102668e-03	1.00002837181091e+00,2.45627589309874e-02
8.51138038202373e-03	1.00002968311310e+00,2.51348975047979e-02
8.70963589956078e-03	1.00003111362457e+00,2.57203627843803e-02
